OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,SHAPE_Length
1,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,1,Callide B Power Station to Calvale,Operational,275,Queensland,5,20120710,,0.010167099
2,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,2,Callide B Power Station to Calvale,Operational,275,Queensland,5,20120710,,0.011240063
3,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,3,Calvale to Callide A Power Station,Operational,132,Queensland,5,20120710,,0.009303621
4,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,4,Braemar to Bulli Creek,Operational,330,Queensland,5,20120710,,0.830194011
5,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,5,Moura to Biloela Tee,Operational,132,Queensland,5,20120710,,0.466893011
6,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,6,Baralaba to Moura,Operational,132,Queensland,5,20120710,,0.382421069
7,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,7,Warwick to Stanthorpe,Operational,110,Queensland,5,20120710,,0.580243018
8,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,8,Callide C Power Station to Calvale,Operational,275,Queensland,5,20120710,,0.012945739
9,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,9,South Toowoomba Tee to Kearneys Spring,Operational,110,Queensland,5,20120710,,0.032802108
10,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,10,Middle Ridge to Yarranlea,Operational,110,Queensland,5,20120710,,0.472480034
